processed_intent,processed_class,processed_attributes,processed_filter_attributes,processed_key_quantity,id,user_msg,expected_intent,expected_class,expected_attributes,expected_filter_attributes,expected_key_quantity,dataset
ADD,anderson_martins_gomes,"{'student': 'student', 'name': 'name', '20': 'gomes'}",{},,551f14f4-3998-4f54-9a38-ea136349599b,"add student with name=anderson martins gomes, age=20",ADD,student,"{""name"": ""Anderson Martins Gomes"", ""age"": ""20""}",{},2,ORIGINAL
ADD,history_of_brazil,"{'subject': 'description', 'history': 'description'}",{},,1dc96a7e-5957-43ac-96e4-b5e3f9e87dd9,"add subject with name=brazilian history, description=the history of brazil",ADD,subject,"{""name"": ""Brazilian History"", ""description"": ""The history of Brazil""}",{},2,ORIGINAL
ADD,ph_uece_br,"{'teacher': 'name', 'br': 'henrique'}",{},,4337f8e4-b33e-42a2-90de-9e9b23caecef,"add teacher with name=paulo henrique, age=65, email=ph@uece.br",ADD,teacher,"{""name"": ""Paulo Henrique"", ""age"": ""65"", ""email"": ""ph@uece.br""}",{},3,ORIGINAL
ADD,math,"{'name': 'name', 'description': 'description', 'best_subject': 'best subject'}",{},,6ff4038f-dd35-4d04-9d8c-a6357689d5cf,"add subject with name=math, description=the best subject ever",ADD,subject,"{""name"": ""Math"", ""description"": ""The best subject ever""}",{},2,ORIGINAL
ADD,math,"{'name': 'name', 'description': 'description', 'best_subject': 'best subject'}",{},,a21e14bf-0b53-4d2d-919e-40306bf5ee32,"add subject with name=math, description='the best subject ever!'",ADD,subject,"{""name"": ""Math"", ""description"": ""The best subject ever!""}",{},2,ORIGINAL
ADD,adolescent,{'student': 'name=anderson'},{},,ed72cd78-a31c-49bd-a1eb-aaed67886a62,add student name=anderson,ADD,student,"{""name"": ""Anderson""}",{},1,ORIGINAL
READ,anderson,"{'students': 'students', 'name': 'name'}",{},,8489bace-42af-4a69-84bf-f7b31aa51758,get students with name anderson,READ,student,{},"{""name"": ""anderson""}",1,ORIGINAL
READ,teacher,{},{},,28384adb-e1c7-436a-8fe2-a82d7221e70e,show me the teachers,READ,teacher,{},{},0,ORIGINAL
READ,teacher,{},{},,b4ce95f8-136e-4946-b54d-c71868a4a1d7,show teachers,READ,teacher,{},{},0,ORIGINAL
DELETE,teacher,{'show': 'show'},{},,24468f50-28bd-4946-887f-c1983fbe5781,show teacher,READ,teacher,{},{},0,ORIGINAL
ADD,900,"{'outcome': 'outcome', 'value': 'outcome', 'date': 'date', 'dome_created_at': '2025-09-22'}",{},,1d5ca6d1-f813-4c16-a2af-b2460fa97a29,"include outcome value 900, date is today, and description is ""adjusting the numbers""",ADD,outcome,"{""value"": ""900"", ""date"": ""today"", ""description"": ""adjusting the numbers""}",{},3,ORIGINAL
READ,invoice,{},{},,5e8a8a29-034b-48d0-b89a-3460168093e3,get invoices,READ,invoice,{},{},0,ORIGINAL
ADD,module_x,"{'test': 'test', 'scope': 'scope', 'module': 'scope', 'x': 'x', 'date': 'date', 'timeout': 'timeout', 'limit': 'limit'}",{},,8890d24e-99ad-42cb-b214-45255439c08b,"add a test with scope=module x, date=01/01/2022, timeout = 100, limit=10",ADD,test,"{""scope"": ""Module X"", ""date"": ""01/01/2022"", ""timeout"": ""100"", ""limit"": ""10""}",{},4,ORIGINAL
ADD,y,{'test': 'number'},{},,a22749da-e82a-4e9b-874d-7f4a9ba78eca,add a test with scope=module y and number = 8,ADD,test,"{""scope"": ""Module Y"", ""number"": ""8""}",{},2,ORIGINAL
ADD,199,"{'student': 'student', 'name': 'name', '199': 'anderson'}",{},,2dbe4cc9-f79e-4c0b-aff4-0aec974fc041,"add student with name=anderson, age=199",ADD,student,"{""name"": ""Anderson"", ""age"": ""199""}",{},2,ORIGINAL
DELETE,199,"{'student': 'name is anderson, and age is 199'}",{},,25d2fde8-63a1-45e0-b911-ec80b64d3b80,"delete student name is anderson, and age is 199",DELETE,student,{},"{""name"": ""Anderson"", ""age"": ""199""}",2,ORIGINAL
ADD,author,"{'article': 'author', 'author': 'author'}",{},,dc0dd886-54b6-4282-a1d5-0aeca0af7a37,"add article with title=the title, author=the author",ADD,article,"{""title"": ""The title"", ""author"": ""The author""}",{},2,ORIGINAL
