processed_intent,processed_class,processed_attributes,processed_filter_attributes,processed_key_quantity,id,user_msg,expected_intent,expected_class,expected_attributes,expected_filter_attributes,expected_key_quantity,dataset
ADD,Student,{'student': 'gomes'},{},,29d8b965-09bc-4211-88f3-16ff587b5580,"add student with name=anderson martins gomes, age=20",ADD,student,"{""name"": ""Anderson Martins Gomes"", ""age"": ""20""}",{},2,ORIGINAL
ADD,Subject,{},{},,64384179-900a-4a4c-bb86-5921f01a92a0,"add subject with name=brazilian history, description=the history of brazil",ADD,subject,"{""name"": ""Brazilian History"", ""description"": ""The history of Brazil""}",{},2,ORIGINAL
ADD,Teacher,{'teacher': 'henrique'},{},,045c0bb2-7542-472e-9c34-371b5d592631,"add teacher with name=paulo henrique, age=65, email=ph@uece.br",ADD,teacher,"{""name"": ""Paulo Henrique"", ""age"": ""65"", ""email"": ""ph@uece.br""}",{},3,ORIGINAL
ADD,Subject,{},{},,b60b906d-81e9-4cd9-8b2b-851e2b795055,"add subject with name=math, description=the best subject ever",ADD,subject,"{""name"": ""Math"", ""description"": ""The best subject ever""}",{},2,ORIGINAL
ADD,Subject,{},{},,790ee401-5299-477c-a6e6-e1df3598be52,"add subject with name=math, description='the best subject ever!'",ADD,subject,"{""name"": ""Math"", ""description"": ""The best subject ever!""}",{},2,ORIGINAL
ADD,Student,{},{},,cbf0ef75-4d25-4429-9eb3-73d8faf25d9f,add student name=anderson,ADD,student,"{""name"": ""Anderson""}",{},1,ORIGINAL
READ,Student,{},{},,0f1d140c-d019-4181-a756-a9488bb66ff4,get students with name anderson,READ,student,{},"{""name"": ""anderson""}",1,ORIGINAL
READ,Teacher,{},{},,c063bcd5-d4b0-4d9a-bf99-840350143cd3,show me the teachers,READ,teacher,{},{},0,ORIGINAL
READ,Teacher,{},{},,edba23cd-5ac1-4db1-8d5d-3070f31eb1a8,show teachers,READ,teacher,{},{},0,ORIGINAL
,None,None,None,,92eca494-24cf-45ee-9964-6b0696a705f6,show teacher,READ,teacher,{},{},0,ORIGINAL
ADD,OutcomeValue,{'dome_created_at': '2025-09-18'},{},,a30d58a1-b7b6-43c7-844c-d4efb1a06571,"include outcome value 900, date is today, and description is ""adjusting the numbers""",ADD,outcome,"{""value"": ""900"", ""date"": ""today"", ""description"": ""adjusting the numbers""}",{},3,ORIGINAL
READ,Invoice,{},{},,b4258dc7-7132-4d0d-8126-9f9627920eab,get invoices,READ,invoice,{},{},0,ORIGINAL
ADD,Test,{},{},,489c845f-ad84-453a-ace8-d9a4182f5ec5,"add a test with scope=module x, date=01/01/2022, timeout = 100, limit=10",ADD,test,"{""scope"": ""Module X"", ""date"": ""01/01/2022"", ""timeout"": ""100"", ""limit"": ""10""}",{},4,ORIGINAL
ADD,Test,{},{},,965e5e4a-d40e-46da-8d05-a6290079722a,add a test with scope=module y and number = 8,ADD,test,"{""scope"": ""Module Y"", ""number"": ""8""}",{},2,ORIGINAL
ADD,Student,{'student': 'anderson'},{},,87687271-e37d-445c-a7ae-29ec11a5ed7b,"add student with name=anderson, age=199",ADD,student,"{""name"": ""Anderson"", ""age"": ""199""}",{},2,ORIGINAL
DELETE,Student,{'student': 'anderson'},{},,e812fce5-c82c-424e-ae1e-4c093ffac5f2,"delete student name is anderson, and age is 199",DELETE,student,{},"{""name"": ""Anderson"", ""age"": ""199""}",2,ORIGINAL
ADD,Article,{},{},,ab592f7d-9381-4641-98f0-6c9964fd4b33,"add article with title=the title, author=the author",ADD,article,"{""title"": ""The title"", ""author"": ""The author""}",{},2,ORIGINAL
UPDATE,Article,{},None,,14e6e90f-daa2-4ff0-970a-d3a2704b5ade,"update article with title ""the title"" and author ""the author"" set the title to ""the new title""",UPDATE,article,"{""title"": ""The new title""}","{""title"": ""The title"", ""author"": ""The author""}",3,ORIGINAL
ADD,Author,{},{},,8ba06a3f-a147-40ae-8d46-ac55dd3f3530,add article with author=anderson,ADD,article,"{""author"": ""Anderson""}",{},1,ORIGINAL
DELETE,Article,{},{},,048cf5e2-72a8-470f-adfc-71ff63bbe06e,"delete article when author=""anderson""",DELETE,article,{},"{""author"": ""Anderson""}",1,ORIGINAL
READ,Article,{},{},,04d2e5f9-99e7-4e1f-8199-a6761cb0a2d6,show me the articles,READ,article,{},{},0,ORIGINAL
