processed_intent,processed_class,processed_attributes,processed_filter_attributes,processed_key_quantity,id,user_msg,expected_intent,expected_class,expected_attributes,expected_filter_attributes,expected_key_quantity,dataset
ADD,student,{'student': 'gomes'},{},,04d7beaa-494d-451c-baef-5d908742fa07,"add student with name=anderson martins gomes, age=20",ADD,student,"{""name"": ""Anderson Martins Gomes"", ""age"": ""20""}",{},2,ORIGINAL
ADD,subject,"{'name': 'brazilian history', 'description': 'the history of brazil'}",{},,ed578d53-d289-489f-a992-ea0acff65abe,"add subject with name=brazilian history, description=the history of brazil",ADD,subject,"{""name"": ""Brazilian History"", ""description"": ""The history of Brazil""}",{},2,ORIGINAL
ADD,teacher,"{'name': 'paulo henrique', 'age': '65', '_': 'br'}",{},,5230e797-1d8b-4580-89a6-8e4d9a102c28,"add teacher with name=paulo henrique, age=65, email=ph@uece.br",ADD,teacher,"{""name"": ""Paulo Henrique"", ""age"": ""65"", ""email"": ""ph@uece.br""}",{},3,ORIGINAL
ADD,subject,"{'name': 'math', 'description': 'the best subject ever'}",{},,34c2a8b4-b9eb-45b4-a464-a650bb1eded6,"add subject with name=math, description=the best subject ever",ADD,subject,"{""name"": ""Math"", ""description"": ""The best subject ever""}",{},2,ORIGINAL
ADD,subject,"{'name': 'math', 'description': 'best subject'}",{},,1be62e12-0ac8-48d8-b79a-19c706acfee9,"add subject with name=math, description='the best subject ever!'",ADD,subject,"{""name"": ""Math"", ""description"": ""The best subject ever!""}",{},2,ORIGINAL
ADD,student,{},{},,eebc8ca3-3125-43a2-b27b-285f6993e9ff,add student name=anderson,ADD,student,"{""name"": ""Anderson""}",{},1,ORIGINAL
READ,student,{'name': 'anderson'},{},,faae1180-1f18-4470-8033-b28d69f3229b,get students with name anderson,READ,student,{},"{""name"": ""anderson""}",1,ORIGINAL
READ,teacher,{},{},,18b8fc18-e488-4deb-88e2-8d2bea78dad1,show me the teachers,READ,teacher,{},{},0,ORIGINAL
READ,teacher,{},{},,b287d6e0-a929-4ea2-98d7-89d700011a70,show teachers,READ,teacher,{},{},0,ORIGINAL
UPDATE,show,{},None,,a2296fcd-4554-4be7-85e6-9ebed8f3101f,show teacher,READ,teacher,{},{},0,ORIGINAL
ADD,outcome,"{'value': '900', 'date': 'today', 'description': 'adjusting the numbers'}",{},,3b720f77-0dd7-4e3e-a962-c8db59d0500b,"include outcome value 900, date is today, and description is ""adjusting the numbers""",ADD,outcome,"{""value"": ""900"", ""date"": ""today"", ""description"": ""adjusting the numbers""}",{},3,ORIGINAL
READ,in,{'invoices': ''},{},,2a3dcdf0-6b08-47c5-afa5-a0b7543f19c2,get invoices,READ,invoice,{},{},0,ORIGINAL
ADD,test,"{'scope': 'module', 'x': '', 'date': '01/01/2022', 'limit': '10'}",{},,6456d96c-3882-4556-abcc-efa77ab0fc9d,"add a test with scope=module x, date=01/01/2022, timeout = 100, limit=10",ADD,test,"{""scope"": ""Module X"", ""date"": ""01/01/2022"", ""timeout"": ""100"", ""limit"": ""10""}",{},4,ORIGINAL
ADD,a,"{'scope': 'module', 'y': '', 'number': '8'}",{},,d7d5ec24-f915-49fd-b261-543e9a0b3030,add a test with scope=module y and number = 8,ADD,test,"{""scope"": ""Module Y"", ""number"": ""8""}",{},2,ORIGINAL
ADD,student,"{'name': 'anderson', 'age': '199'}",{},,e844bba6-0398-431a-9788-a1e660426c17,"add student with name=anderson, age=199",ADD,student,"{""name"": ""Anderson"", ""age"": ""199""}",{},2,ORIGINAL
DELETE,student,"{'name': 'is anderson', 'age': 'is'}",{},,e66d97ae-e475-4111-84ea-78dc0178dc7b,"delete student name is anderson, and age is 199",DELETE,student,{},"{""name"": ""Anderson"", ""age"": ""199""}",2,ORIGINAL
ADD,article,{},{},,cfab2fd3-7f82-45a1-bf9f-8e0821d442fb,"add article with title=the title, author=the author",ADD,article,"{""title"": ""The title"", ""author"": ""The author""}",{},2,ORIGINAL
UPDATE,None,None,None,,4282b85f-7f4e-4f18-a368-8e58482638ce,"update article with title ""the title"" and author ""the author"" set the title to ""the new title""",UPDATE,article,"{""title"": ""The new title""}","{""title"": ""The title"", ""author"": ""The author""}",3,ORIGINAL
ADD,article,{'author': 'anderson'},{},,05bf195c-f549-4e81-ac7f-5fadd7f601d0,add article with author=anderson,ADD,article,"{""author"": ""Anderson""}",{},1,ORIGINAL
DELETE,a,{'author': 'anderson'},{},,04482580-913a-4ede-81f0-76bdb1cbfde6,"delete article when author=""anderson""",DELETE,article,{},"{""author"": ""Anderson""}",1,ORIGINAL
READ,article,{},{},,b66b88fa-1c34-409c-827a-5029a3b1c6ef,show me the articles,READ,article,{},{},0,ORIGINAL
ADD,article,{},{},,17636f1a-fb55-4dbd-abbf-c6f2b8fe83c6,"add article with title=the title, author=the author, abstract=the abstract, keywords=the keywords",ADD,article,"{""title"": ""The title"", ""author"": ""The author"", ""abstract"": ""The abstract"", ""keywords"": ""The keywords""}",{},4,ORIGINAL
UPDATE,None,None,None,,ae15a173-6e31-46b1-8d91-8338c100bbfb,"update article with title ""the title"", setting the co-author as ""anderson gomes""",UPDATE,article,"{""co_author"": ""Anderson Gomes""}","{""title"": ""The title""}",2,ORIGINAL
UPDATE,article,{},None,,91f47498-ec9e-4f34-a053-f95af3de4ad3,"update article with id=1, setting the first author as ""paulo maia""",UPDATE,article,"{""first_author"": ""Paulo Maia""}","{""id"": ""1""}",2,ORIGINAL
READ,student,{},{},,83ae068a-98b4-4ad2-bd02-0ec6b5829ebb,show all students,READ,student,{},{},0,ORIGINAL
READ,student,{},{},,0e032f11-cdf0-4ceb-b62a-22c11ec29443,view students,READ,student,{},{},0,ORIGINAL
READ,the,{'students': ''},{},,7753aa4a-4d0b-4d43-bcce-b793a69fed10,fetch the students,READ,student,{},{},0,ORIGINAL
READ,the,{'students': ''},{},,ec7d8b90-a2ed-4d5d-8cc9-ae79553ca6ac,get the students,READ,student,{},{},0,ORIGINAL
UPDATE,student,{},None,,72605aab-1267-42cc-8b7a-a7e78f9ec2fd,"for the students with name='anderson', update the name to 'anderson martins'",UPDATE,student,"{""name"": ""Anderson Martins""}","{""name"": ""Anderson""}",2,ORIGINAL
UPDATE,student,{},None,,25cb657e-d798-4bac-835c-d91c9c061ec5,please change student with name paulo update age to 30,UPDATE,student,"{""age"": ""30""}","{""name"": ""Paulo""}",2,ORIGINAL
UPDATE,student,{'age': 'to'},{'name': 'anderson'},,058a2cbb-7d60-4f5c-b874-1e9c9db3f8cd,"for students with name anderson, update age to 30",UPDATE,student,"{""age"": ""30""}","{""name"": ""Anderson""}",2,ORIGINAL
UPDATE,student,{},None,,142df396-4908-4cc3-ac04-808ee0465c59,"for students, update age to 30",UPDATE,student,{},{},0,ORIGINAL
UPDATE,student,{},None,,bbd83e29-e8f8-4a96-b652-22598fb1d385,update students,UPDATE,student,{},{},0,ORIGINAL
,None,None,None,,0dde119b-201b-457e-9707-7744e0298070,"please, when students have the name equal to anderson, update the age to 30.",UPDATE,student,"{""age"": ""30""}","{""name"": ""Anderson""}",2,ORIGINAL
UPDATE,student,{'age': 'to'},{'name': 'is'},,2ea1e2ff-035d-49f7-bc62-b327871cdfca,update students setting the age to 42 when name is anderson,UPDATE,student,"{""age"": ""42""}","{""name"": ""Anderson""}",2,ORIGINAL
UPDATE,None,None,None,,ca6599e6-d456-41b0-b079-40c7fd360459,update students set the age to 42 when name is anderson,UPDATE,student,"{""age"": ""42""}","{""name"": ""Anderson""}",2,ORIGINAL
UPDATE,student,{},None,,9c9be997-ae63-4707-ab02-5eb72e7a79cf,set students with age to 42 when name is anderson,UPDATE,student,"{""age"": ""42""}","{""name"": ""Anderson""}",2,ORIGINAL
