model,configuration,precision,recall,f1,accuracy,TP,FP,FN,TN
flan_default,default,0.451650260567458,0.7142857142857143,0.5533877261440227,0.38254046101029915,780,947,312,409
flan_treatment_mode,treatment_mode,0.7201481024375193,0.7602605863192182,0.7396609095230549,0.5868745285390998,2334,907,736,775
gemma3_default,default,0.4514485832537408,0.6433756805807622,0.5305893358278765,0.3610898905016552,1418,1723,786,825
gemma3_treatment_mode,treatment_mode,0.7419956481193659,0.7597071928707829,0.7507469727944645,0.600956696878147,2387,830,755,780
llama3_default,default,0.4692783505154639,0.47180762852404645,0.4705395906553649,0.3076507164098405,1138,1287,1274,1053
llama3_treatment_mode,treatment_mode,0.7505518763796909,0.7500787897888433,0.7503152585119798,0.6004036326942482,2380,791,793,788
mistral_default,default,0.4653262207632335,0.4732888146911519,0.4692737430167598,0.30656934306569344,1134,1303,1262,1053
mistral_treatment_mode,treatment_mode,0.7511027095148078,0.753714827695226,0.7524065014991321,0.6030862635972679,2384,790,779,799
qwen3_default,default,0.46587171052631576,0.47188671386922115,0.4688599213738879,0.3062162162162162,1133,1299,1268,1052
qwen3_treatment_mode,treatment_mode,0.7102001906577693,0.7356813693219223,0.7227162489894908,0.5658227848101266,2235,912,803,802
