processed_intent,processed_class,processed_attributes,processed_filter_attributes,processed_key_quantity,id,user_msg,expected_intent,expected_class,expected_attributes,expected_filter_attributes,expected_key_quantity,dataset
ADD,student,"{'name': 'anderson martins gomes', 'age': '20'}",{},,ec2ba09b-47c7-4f67-9044-0eaf1ed4750c,"add student with name=anderson martins gomes, age=20",ADD,student,"{'name': 'Anderson Martins Gomes', 'age': '20'}",{},2,ORIGINAL
ADD,subject,"{'name': 'brazilian history', 'description': 'the history of'}",{},,0ab3d774-d072-48b8-b0f1-bf84c58fd753,"add subject with name=brazilian history, description=the history of brazil",ADD,subject,"{'name': 'Brazilian History', 'description': 'The history of Brazil'}",{},2,ORIGINAL
ADD,teacher,"{'name': 'paulo henrique', 'age': '65', '_': 'br'}",{},,20128ef5-7158-4763-ac6c-22449e13946f,"add teacher with name=paulo henrique, age=65, email=ph@uece.br",ADD,teacher,"{'name': 'Paulo Henrique', 'age': '65', 'email': 'ph@uece.br'}",{},3,ORIGINAL
ADD,subject,"{'name': 'math', 'best_subject': 'ever'}",{},,16db87dc-a3d4-4a52-9708-e68277430495,"add subject with name=math, description=the best subject ever",ADD,subject,"{'name': 'Math', 'description': 'The best subject ever'}",{},2,ORIGINAL
ADD,subject,"{'name': 'math', 'description': 'best subject'}",{},,a5868d90-d7c3-43d7-af4d-7cc88da28886,"add subject with name=math, description='the best subject ever!'",ADD,subject,"{'name': 'Math', 'description': 'The best subject ever!'}",{},2,ORIGINAL
ADD,student,{'name': 'anderson'},{},,d04f9b0a-5d01-4a9c-813d-6bbcda9cda70,add student name=anderson,ADD,student,{'name': 'Anderson'},{},1,ORIGINAL
READ,student,{'name': 'anderson'},{},,cd7e3a6c-4a63-4771-9d62-2818f8bb3d18,get students with name anderson,READ,student,{},{'name': 'anderson'},1,ORIGINAL
READ,teacher,{},{},,b0e1d36f-7d42-4d73-88c0-9b5d9521c1cd,show me the teachers,READ,teacher,{},{},0,ORIGINAL
READ,teacher,{},{},,efd7a4ef-1b13-4635-9edf-b3a1f475c4c9,show teachers,READ,teacher,{},{},0,ORIGINAL
READ,,None,None,,f7b0e7cd-d777-4d47-a635-61c61ac5d08a,show teacher,READ,teacher,{},{},0,ORIGINAL
ADD,outcome,"{'date': 'is today', 'numbers': ''}",{},,d2c4b019-9420-4feb-9f96-4543dec260c7,"include outcome value 900, date is today, and description is ""adjusting the numbers""",ADD,outcome,"{'value': '900', 'date': 'today', 'description': 'adjusting the numbers'}",{},3,ORIGINAL
READ,in,{'invoices': ''},{},,54e92c88-0f36-47c4-8795-05501907e72c,get invoices,READ,invoice,{},{},0,ORIGINAL
ADD,test,"{'scope': 'module', 'x': '', 'date': '01/01/2022', 'timeout': '100', 'limit': '10'}",{},,83a66671-ac36-443a-b1f4-8a3672ee87d3,"add a test with scope=module x, date=01/01/2022, timeout = 100, limit=10",ADD,test,"{'scope': 'Module X', 'date': '01/01/2022', 'timeout': '100', 'limit': '10'}",{},4,ORIGINAL
ADD,test,"{'scope': 'module y', 'number': '8'}",{},,d3910e9f-d27b-48b8-b02d-13b858496277,add a test with scope=module y and number = 8,ADD,test,"{'scope': 'Module Y', 'number': '8'}",{},2,ORIGINAL
ADD,student,"{'name': 'anderson', 'age': '199'}",{},,54712d95-8093-4f99-a684-e34b6fed0762,"add student with name=anderson, age=199",ADD,student,"{'name': 'Anderson', 'age': '199'}",{},2,ORIGINAL
DELETE,student,"{'name': 'anderson', 'age': 'is 199'}",{},,2376defc-3752-4da2-b14a-9e7a87ff9bb0,"delete student name is anderson, and age is 199",DELETE,student,{},"{'name': 'Anderson', 'age': '199'}",2,ORIGINAL
ADD,article,{},{},,3d5c6370-d8ef-4490-956a-cdd2e59ff935,"add article with title=the title, author=the author",ADD,article,"{'title': 'The title', 'author': 'The author'}",{},2,ORIGINAL
UPDATE,,None,None,,9b9cf877-bdf3-4ae5-9cdf-27c8cbf4d05c,"update article with title ""the title"" and author ""the author"" set the title to ""the new title""",UPDATE,article,{'title': 'The new title'},"{'title': 'The title', 'author': 'The author'}",3,ORIGINAL
ADD,article,{'author': 'anderson'},{},,e107b5ca-f7fc-485d-8b6a-815ac374f6bc,add article with author=anderson,ADD,article,{'author': 'Anderson'},{},1,ORIGINAL
DELETE,article,{'author': 'anderson'},{},,62babf2a-2873-4bec-becf-41ec2777e742,"delete article when author=""anderson""",DELETE,article,{},{'author': 'Anderson'},1,ORIGINAL
READ,article,{},{},,f8532744-d939-4dd1-8040-3ad44e09633e,show me the articles,READ,article,{},{},0,ORIGINAL
ADD,article,{},{},,09a49708-ec70-4877-9bd5-3c428e7ea7ca,"add article with title=the title, author=the author, abstract=the abstract, keywords=the keywords",ADD,article,"{'title': 'The title', 'author': 'The author', 'abstract': 'The abstract', 'keywords': 'The keywords'}",{},4,ORIGINAL
UPDATE,,None,None,,f230fa83-0965-4a99-88e5-f0a1eba684a1,"update article with title ""the title"", setting the co-author as ""anderson gomes""",UPDATE,article,{'co_author': 'Anderson Gomes'},{'title': 'The title'},2,ORIGINAL
UPDATE,article,{},None,,1b9a1b45-d021-48bf-81d1-39b133495889,"update article with id=1, setting the first author as ""paulo maia""",UPDATE,article,{'first_author': 'Paulo Maia'},{'id': '1'},2,ORIGINAL
READ,student,{},{},,71eaaa35-e461-4ca1-a8eb-750206160b9d,show all students,READ,student,{},{},0,ORIGINAL
READ,student,{},{},,125cecaf-42e0-4b68-afb2-b91ac229f67a,view students,READ,student,{},{},0,ORIGINAL
READ,student,{},{},,7ea9871f-4378-4ad3-be91-698fd8d2610e,fetch the students,READ,student,{},{},0,ORIGINAL
READ,student,{},{},,fd67ed99-5ee8-4274-aa00-01c24c47b8b3,get the students,READ,student,{},{},0,ORIGINAL
UPDATE,student,{},None,,6c5b0675-4252-43ee-ac30-ce025e607048,"for the students with name='anderson', update the name to 'anderson martins'",UPDATE,student,{'name': 'Anderson Martins'},{'name': 'Anderson'},2,ORIGINAL
UPDATE,student,{},None,,79262d46-1e2e-4a4a-a5f0-219e9fb0b00e,please change student with name paulo update age to 30,UPDATE,student,{'age': '30'},{'name': 'Paulo'},2,ORIGINAL
UPDATE,student,{'students': 'anderson'},{},,7a6d94db-3269-46dd-8321-05d2298f4914,"for students with name anderson, update age to 30",UPDATE,student,{'age': '30'},{'name': 'Anderson'},2,ORIGINAL
UPDATE,student,{},None,,37ab5768-0ea3-4a40-b141-1bda28be030a,"for students, update age to 30",UPDATE,student,{},{},0,ORIGINAL
UPDATE,student,{},None,,f45c3431-3308-404d-9667-0545762602c6,update students,UPDATE,student,{},{},0,ORIGINAL
UPDATE,student,{'students': 'anderson'},{},,2e4f5bd3-ae9e-44f2-9fa0-1f3b65b7c41d,"please, when students have the name equal to anderson, update the age to 30.",UPDATE,student,{'age': '30'},{'name': 'Anderson'},2,ORIGINAL
UPDATE,student,{},None,,8850b375-498f-43a9-8de0-2fb9f8dba70c,update students setting the age to 42 when name is anderson,UPDATE,student,{'age': '42'},{'name': 'Anderson'},2,ORIGINAL
UPDATE,student,{'age': '42'},{'name': 'anderson'},,54edd4a0-06d9-46ee-b47e-a60464ead4da,update students set the age to 42 when name is anderson,UPDATE,student,{'age': '42'},{'name': 'Anderson'},2,ORIGINAL
UPDATE,student,{},None,,c3aebdaf-2c67-4e60-9cab-dba62b75c270,set students with age to 42 when name is anderson,UPDATE,student,{'age': '42'},{'name': 'Anderson'},2,ORIGINAL
UPDATE,student,{'students': 'anderson'},{},,e0425922-1dce-4069-83a6-7c412f4c59cf,"for students with name anderson, update the age to 42",UPDATE,student,{'age': '42'},{'name': 'Anderson'},2,ORIGINAL
UPDATE,student,{'age': '30'},{'name': 'anderson'},,bc481686-d00a-4f13-b553-132becd77c71,please change student with name anderson update age to 30,UPDATE,student,{'age': '30'},{'name': 'Anderson'},2,ORIGINAL
UPDATE,student,{},None,,80f2b544-2817-43d9-8b46-c71a6d678ea8,"please, change the student with name='anderson', updating the age to 30",UPDATE,student,{'age': '30'},{'name': 'Anderson'},2,ORIGINAL
UPDATE,student,{},None,,9ea30497-afcb-480a-9989-c2784ece5bd7,"update the age to 42, for students with name='anderson'",UPDATE,student,{'age': '42'},{'name': 'Anderson'},2,ORIGINAL
ADD,student,{'name': 'joseph'},{},,b2dcf273-d4c1-4e4f-ad82-90777e020a84,add a student with name joseph,ADD,student,{'name': 'Joseph'},{},1,ORIGINAL
READ,student,{},{},,74d99623-e20f-4c59-a31a-4f08879b31f9,get students,READ,student,{},{},0,ORIGINAL
ADD,article,{'title': 'a no-code tool'},{},,7992b906-b379-488b-a549-c6fb2e255705,add article with title 'dome: a no-code tool',ADD,article,{'title': 'DomE: A no-code tool'},{},1,ORIGINAL
READ,article,{},{},,8b79a107-3ee4-4e14-8150-07f544c06336,get articles,READ,article,{},{},0,ORIGINAL
UPDATE,article,{},None,,91c4ee54-b2ed-4a17-99de-72167b8424d0,"update the articles with id=1, setting the title='new title'",UPDATE,article,{'title': 'new title'},{'id': '1'},2,ORIGINAL
ADD,article,"{'title': 'title 2', 'author': 'rodrigo'}",{},,b4bb51ae-9c38-42ce-8694-95692aac97a8,"add article with title='title 2', author='rodrigo'",ADD,article,"{'title': 'title 2', 'author': 'Rodrigo'}",{},2,ORIGINAL
UPDATE,article,{},None,,860c3afe-b3f3-4137-a8a6-1cc20336df7c,"update the articles with id=1, setting the co-author='layza'",UPDATE,article,{'co_author': 'Layza'},{'id': '1'},2,ORIGINAL
DELETE,article,{'id': '1'},{},,263d3fbb-a6d0-4b53-93e0-1cb19c520a76,delete the article with id=1,DELETE,article,{},{'id': '1'},1,ORIGINAL
ADD,student,{'age': '45'},{},,34e93210-b0a4-4b0d-8ada-9ae878fd60b6,add a student with age=45,ADD,student,{'age': '45'},{},1,ORIGINAL
READ,student,{},{},,ddd1bb6f-8cd3-4198-b8f9-863016710f03,show students,READ,student,{},{},0,ORIGINAL
ADD,company,"{'name': 'acme', 'address': '150 coconut street'}",{},,7a88bcaf-9e37-4147-9059-848aad94c814,"include company with name=acme, address=150 coconut street",ADD,company,"{'name': 'ACME', 'address': '150 Coconut Street'}",{},2,ORIGINAL
READ,company,{},{},,dcecd5ce-3384-4c48-a786-4592a36fb542,list companies,READ,company,{},{},0,ORIGINAL
ADD,company,"{'name': 'caju enterprises', 'owner': 'anderson gomes', 'address': '200 cumbuco street'}",{},,4b04c85c-b3a0-4d93-b8de-293654c0641f,"add another company with name=caju enterprises, owner=anderson gomes and address=200 cumbuco street",ADD,company,"{'name': 'Caju Enterprises', 'owner': 'Anderson Gomes', 'address': '200 Cumbuco Street'}",{},3,ORIGINAL
READ,company,{'company': 'caju'},{},,20f3e361-ba0d-4e75-a9f9-f9d34ee86d8c,which company has caju in its name?,READ,company,{},{'name': 'caju'},1,ORIGINAL
UPDATE,company,{'company': 'caju'},{},,078c88e4-8c94-472e-8c1e-4e3cc0471f71,"is there a company with ""caju"" in its name?",READ,company,{},{'name': 'caju'},1,ORIGINAL
DELETE,company,{'name': 'is acme'},{},,2310babb-57a9-4b19-808b-921e82926e00,delete the company whose name is acme,DELETE,company,{},{'name': 'ACME'},1,ORIGINAL
ADD,company,"{'name': 'american beauty', 'owner': 'kevin spacey'}",{},,9521b227-725b-41e0-9bb1-8c4aa63db714,add a new company with name=american beauty and owner=kevin spacey,ADD,company,"{'name': 'American Beauty', 'owner': 'Kevin Spacey'}",{},2,ORIGINAL
READ,company,{'names': 'sorted in ascending order'},{},,aa8b9d7e-c3d2-467e-b961-65057b95b852,list company names sorted in ascending order,READ,company,{},{'names': 'sorted'},1,ORIGINAL
READ,company,{'name': 'in ascending order'},{},,473dcc45-04f3-46e6-a94b-ae148582d048,list companies sorted by name in ascending order,READ,company,{},{'name': 'ascending'},1,ORIGINAL
ADD,company,"{'name': 'american beauty', 'owner': 'janjo chiquim'}",{},,8df3172a-b566-41c5-ab1b-914427e87bf3,add a new company with name=american beauty and owner=janjo chiquim,ADD,company,"{'name': 'American Beauty', 'owner': 'janjo chiquim'}",{},2,ORIGINAL
ADD,company,{'name': 'american beauty'},{},,c4d79028-34ba-48d4-9334-5e7edc78ecee,add a new company with name=american beauty and owner=roger rommel,ADD,company,"{'name': 'American Beauty', 'owner': 'Roger Rommel'}",{},2,ORIGINAL
READ,company,{'sort': 'by name'},{},,54097b3b-b857-4ac2-b323-d5265ac1150c,"list companies, sort by name",READ,company,{},{'sort': 'by name'},1,ORIGINAL
READ,company,{},{},,5dad6236-4cc6-40ce-a4bd-9b2356ac2bef,list all companies,READ,company,{},{},0,ORIGINAL
READ,company,{},{},,d4e41d29-1303-4a11-abc3-769a71b46952,show all companies,READ,company,{},{},0,ORIGINAL
ADD,company,{'name': 'roger arrombado'},{},,6c159c34-22de-44f5-8195-661a44193caf,add company with name=roger arrombado,ADD,company,{'name': 'Roger Arrombado'},{},1,ORIGINAL
READ,company,{},{},,c1a3a7b9-0e7c-42cc-a1bc-b2207cabfee4,get companies,READ,company,{},{},0,ORIGINAL
ADD,company,{'name': 'mimoso construcoes'},{},,fceb7d6a-88b6-496f-82d6-c941d47a4637,include a company with name=mimoso construcoes,ADD,company,{'name': 'Mimoso Construcoes'},{},1,ORIGINAL
ADD,article,"{'abstract': 'is a good', 'good_article': ''}",{},,9392199d-2b0c-400f-9173-346aa57b582b,add article with abstract equal to 'this is a good article',ADD,article,{'abstract': 'this is a good article'},{},1,ORIGINAL
ADD,article,"{'human_narratives': 'are around the technology evolution', 'society': ''}",{},,98f17b5d-5570-4f65-9d91-9f9bbc893b70,add an article with an abstract equal to 'this is a good article about de human history. the human narratives are around the technology evolution and it's impact on society.',ADD,article,{'abstract': 'this is a good article about de human history. The human narratives are around the technology evolution and it's impact on society.'},{},1,ORIGINAL
ADD,student,{'name': 'mary'},{},,2f7ff1dc-1405-48c2-8214-70b0cd7d32af,add a student with name mary,ADD,student,{'name': 'Mary'},{},1,ORIGINAL
ADD,student,{'student': 'rodrigo'},{},,5e46043d-9767-44a4-a953-a6154a5d39a0,"i want to add a student with name 'rodrigo', age 20 and his skin color is white",ADD,student,"{'name': 'Rodrigo', 'age': '20', 'skin': 'white'}",{},3,ORIGINAL
READ,student,{},{},,ead1cbd4-013c-49e5-bde1-09f286d467b0,"now, i want to view all students",READ,student,{},{},0,ORIGINAL
DELETE,student,{},{},,740b72bc-0ded-4411-bed7-2baafab3cf6e,i want to delete all students,DELETE,student,{},{},0,ORIGINAL
DELETE,student,{},{},,7899929d-2717-4947-b643-54536527cfbf,delete students,DELETE,student,{},{},0,ORIGINAL
DELETE,student,{'id': '4'},{},,d0f944c0-15e6-459e-8ffa-c9814fd11adc,delete students with id <= 4,DELETE,student,{},{'id': '4'},1,ORIGINAL
DELETE,student,{'idless': 'to'},{},,8de4a9f6-16ed-4673-81af-ba8b8e144c7a,delete students with idless than or equal to 4,DELETE,student,{},{},0,ORIGINAL
DELETE,student,{},{},,7fd64373-3d84-4477-a717-cc4dd7e455ca,delete students with id less than or equal to 4,DELETE,student,{},{'id': 'less than or equal to 4'},1,ORIGINAL
DELETE,student,{},{},,50e6e1f2-701a-4183-803a-401786ea8f62,"delete students with id=1, id=2 and id=3",DELETE,student,{},{},0,ORIGINAL
READ,student,{'id': '4'},{},,3f15c8a8-202c-42bf-b1f3-06b0095f6b9a,get students with id <4,READ,student,{},{'id': '4'},1,ORIGINAL
READ,student,{'name': 'rodrigo'},{},,56724f16-2ff6-4024-b097-6a3748078a4e,get all students with name 'rodrigo',READ,student,{},{'name': 'Rodrigo'},1,ORIGINAL
UPDATE,name,{'name': 'rodrigo'},{},,0cfa2244-aee4-4580-b0d2-1b5ae0fa8f64,"i want to change the name of a student with name 'rodrigo'. now, i want to set his name as 'rodrigo freitas'",UPDATE,student,{'name': 'Rodrigo Freitas'},{'name': 'Rodrigo'},2,ORIGINAL
DELETE,update,{'students': ''},{},,2a4b1478-3edb-4647-b278-51fd43e1f76e,delete 'update' from all students,DELETE,student,{},{},0,ORIGINAL
READ,student,{'r': 'r'},{},,71f0d5fa-edb6-41a5-a479-81f35d68e942,get all students that starts with 'r',READ,student,{},{},0,ORIGINAL
ADD,film,"{'name': 'love', 'film': 'rosie'}",{},,a5a672a4-4a2a-4fd9-bd75-90b20f83ac40,"add film with name ""love, rosie"" and genre ""romance""",ADD,film,"{'name': 'love, Rosie', 'genre': 'romance'}",{},2,ORIGINAL
READ,section,{'section': 'film'},{},,1599dd74-d1e5-4b54-8212-e49a2201d3fd,show me the section film,READ,section_film,{},{},0,ORIGINAL
READ,film,{},{},,38025285-445f-4bff-be65-9a361e6c4b2d,show me film,READ,film,{},{},0,ORIGINAL
ADD,film,{'film': 'batman'},{},,5d75570a-afe8-43fd-a2c4-dc98f6090b57,"add film ""batman (2022)"" with genre=action",ADD,film,{'genre': 'action'},{},1,ORIGINAL
ADD,film,"{'name': '2022)', 'genre': 'action'}",{},,97e28fea-bbbd-4694-b582-d9cbe11c961a,"add film with name ""batman (2022)"" and genre=action",ADD,film,"{'name': 'Batman (2022)', 'genre': 'action'}",{},2,ORIGINAL
ADD,film,"{'name': 'avatar (2022)', 'genre': 'action', 'film': 'with name 'avatar (2022)'}",{},,33c44eb2-f1bd-4a97-be08-6166312e988b,"add a film with name ""avatar (2022)"" and genre=action, and another film with name=crepúsculo and genre ""drama""",ADD,film,"{'name': 'Avatar (2022)', 'genre': 'action'}",{},2,ORIGINAL
ADD,film,"{'name': '2022)', 'genre': 'action'}",{},,29015abe-82ad-400e-9d5f-95ecd75777c5,"add a film with name ""avatar (2022)"" and genre=action",ADD,film,"{'name': 'Avatar (2022)', 'genre': 'action'}",{},2,ORIGINAL
ADD,film,"{'name': 'crepúsculo', 'genre': 'drama'}",{},,19259ad1-e154-43b9-8fb6-9484cf71db52,"now add film with name=crepúsculo and genre ""drama""",ADD,film,"{'name': 'Crepusculo', 'genre': 'Drama'}",{},2,ORIGINAL
ADD,film,"{'name': 'crepúsculo', 'genre': 'drama'}",{},,1c09279d-5bff-4274-9f2b-77bb270b3d16,"add film with name=crepúsculo and genre ""drama""",ADD,film,"{'name': 'Crepusculo', 'genre': 'Drama'}",{},2,ORIGINAL
ADD,film,"{'name': 'crepúsculo', 'genre': 'drama'}",{},,259c74e8-a03d-46a2-bb9c-6c27dfdfc03b,"add film with name='crepúsculo' and genre ""drama""",ADD,film,"{'name': 'Crepusculo', 'genre': 'Drama'}",{},2,ORIGINAL
ADD,film,"{'name': 'crepúsculo', 'genre': 'drama'}",{},,8ff9d3f2-66ae-4b7f-91aa-5662da73a93d,"add film film with name='crepúsculo' and genre=""drama""",ADD,film,"{'name': 'Crepusculo', 'genre': 'Drama'}",{},2,ORIGINAL
ADD,film,"{'name': 'crepúsculo', 'genre': 'drama'}",{},,d38033a0-e48f-4044-8113-0b15867d4388,"add film with name='crepúsculo' and genre=""drama""",ADD,film,"{'name': 'Crepusculo', 'genre': 'Drama'}",{},2,ORIGINAL
ADD,film,"{'name': 'crepúsculo', 'genre': 'drama'}",{},,d8dbfdf8-88d0-4bd3-b59c-6898b4e9ba99,"add film with name ""crepúsculo"" and genre=drama",ADD,film,"{'name': 'Crepusculo', 'genre': 'Drama'}",{},2,ORIGINAL
ADD,film,"{'name': 'crepusculo', 'genre': 'drama'}",{},,98aecf35-d2c9-482f-8c8e-96ae41dac1a9,"add film with name ""crepusculo"" and genre=drama",ADD,film,"{'name': 'Crepusculo', 'genre': 'Drama'}",{},2,ORIGINAL
READ,film,{'genre': ''},{},,c6eab5a1-ecc4-4ce7-b9f0-311cbbc7c217,show me film where action is the genre,READ,film,{},{'genre': 'action'},1,ORIGINAL
READ,film,{'genre': 'action'},{},,d5434099-b33d-481c-99f1-58e047e9c895,show me film where genre = action,READ,film,{},{'genre': 'action'},1,ORIGINAL
ADD,student,{'name': 'anderson'},{},,9f610710-0c4b-44da-974a-3c3567d02825,add a student with name=anderson,ADD,student,{'name': 'anderson'},{},1,ORIGINAL
ADD,teacher,{'name': 'equal to 'italo roger'},{},,133b1e6f-c48a-4d1d-bc0e-1e816a0f0c48,add a teacher with name equal to 'italo roger',ADD,teacher,{'name': 'Italo Roger'},{},1,ORIGINAL
READ,teacher,{},{},,4225964e-07a3-4ad0-8859-f274d9c223f8,get all teachers,READ,teacher,{},{},0,ORIGINAL
