processed_intent,processed_class,processed_attributes,processed_filter_attributes,processed_key_quantity,id,user_msg,expected_intent,expected_class,expected_attributes,expected_filter_attributes,expected_key_quantity,dataset
ADD,Person__or_Student__given_the_context_,{'20': 'gomes'},{},,f4b14afa-38bf-4f45-82bd-a8e4079a2bc0,"add student with name=anderson martins gomes, age=20",ADD,student,"{'name': 'Anderson Martins Gomes', 'age': '20'}",{},2,ORIGINAL
ADD,Subject,{},{},,f96d2223-1db9-4f58-8100-d17941506fe5,"add subject with name=brazilian history, description=the history of brazil",ADD,subject,"{'name': 'Brazilian History', 'description': 'The history of Brazil'}",{},2,ORIGINAL
ADD,Person,{'br': 'henrique'},{},,f4fdd376-cb5b-4513-a9a7-7738f4d3a7ae,"add teacher with name=paulo henrique, age=65, email=ph@uece.br",ADD,teacher,"{'name': 'Paulo Henrique', 'age': '65', 'email': 'ph@uece.br'}",{},3,ORIGINAL
ADD,Subject,{},{},,dc1d98c5-dadc-4869-bdeb-ea97a58202bc,"add subject with name=math, description=the best subject ever",ADD,subject,"{'name': 'Math', 'description': 'The best subject ever'}",{},2,ORIGINAL
ADD,Subject__or_Topic_,{},{},,fa8fba40-c140-4321-9f43-3c2b86d9d0ff,"add subject with name=math, description='the best subject ever!'",ADD,subject,"{'name': 'Math', 'description': 'The best subject ever!'}",{},2,ORIGINAL
ADD,_Person__or__Student___both_are_appropriate_given_the_context_,{},{},,ee56f7a4-5240-415e-85ec-9f35d4fda8cb,add student name=anderson,ADD,student,{'name': 'Anderson'},{},1,ORIGINAL
READ,Person__or_more_specifically__Student__as_it_s_implied_they_are_students_due_to_the_context_,{},{},,25616758-e084-4028-a42e-eb1498c51ecf,get students with name anderson,READ,student,{},{'name': 'anderson'},1,ORIGINAL
READ,Teachers,{},{},,a071b9d8-f18d-43f8-903d-955d127253ff,show me the teachers,READ,teacher,{},{},0,ORIGINAL
READ,Person__more_specifically_Teacher__based_on_the_given_context_,{},{},,00e033aa-5b51-49b6-809b-d832ffb27aa5,show teachers,READ,teacher,{},{},0,ORIGINAL
,,None,None,,2d4a086c-4667-4350-8f10-17c298060c22,show teacher,READ,teacher,{},{},0,ORIGINAL
ADD,Event__or_possibly_Action__depending_on_the_context_or_specific_ontology_used_,{'dome_created_at': '2025-09-20'},{},,23adfe90-e172-4214-a9c5-2ec9261917c2,"include outcome value 900, date is today, and description is ""adjusting the numbers""",ADD,outcome,"{'value': '900', 'date': 'today', 'description': 'adjusting the numbers'}",{},3,ORIGINAL
READ,Invoice,{},{},,538cb464-f577-4a95-9ab0-79e0efee6f51,get invoices,READ,invoice,{},{},0,ORIGINAL
ADD,TestCase_or_Test__depending_on_the_context_of_your_system_,{},{},,18245aeb-2083-42f8-a9e8-faff958f596c,"add a test with scope=module x, date=01/01/2022, timeout = 100, limit=10",ADD,test,"{'scope': 'Module X', 'date': '01/01/2022', 'timeout': '100', 'limit': '10'}",{},4,ORIGINAL
ADD,Test__or_more_specifically__Test_Case_,{},{},,0ade5f86-782f-4f59-bd46-0e1240bb579d,add a test with scope=module y and number = 8,ADD,test,"{'scope': 'Module Y', 'number': '8'}",{},2,ORIGINAL
ADD,Person__implied_by_Student_,{'199': 'anderson'},{},,c4df24e7-48d4-4706-8e23-223d223c1225,"add student with name=anderson, age=199",ADD,student,"{'name': 'Anderson', 'age': '199'}",{},2,ORIGINAL
DELETE,Person__or_possibly_Student_,{'199': 'anderson'},{},,c1e3967d-5133-4493-b3a7-80834dc66608,"delete student name is anderson, and age is 199",DELETE,student,{},"{'name': 'Anderson', 'age': '199'}",2,ORIGINAL
ADD,Article,{},{},,ed8cf6af-4307-40c7-aad9-11cdaf8530f0,"add article with title=the title, author=the author",ADD,article,"{'title': 'The title', 'author': 'The author'}",{},2,ORIGINAL
UPDATE,Article__based_on_the_action_of_updating_an_article_,{},None,,f3ec3bd5-a323-47f9-a9be-3afe254065f6,"update article with title ""the title"" and author ""the author"" set the title to ""the new title""",UPDATE,article,{'title': 'The new title'},"{'title': 'The title', 'author': 'The author'}",3,ORIGINAL
ADD,Author,{},{},,8eef1111-6c32-42e6-8269-d9a81169b969,add article with author=anderson,ADD,article,{'author': 'Anderson'},{},1,ORIGINAL
DELETE,Author__assuming__article__is_an_assumed_context_,{},{},,48937fd2-82ad-4b03-8fa3-61fa7f046f0a,"delete article when author=""anderson""",DELETE,article,{},{'author': 'Anderson'},1,ORIGINAL
READ,Articles__assuming_a_context_of_discussing_documents_or_news_,{},{},,a1970f95-4dca-4e91-9c58-872a0069fa82,show me the articles,READ,article,{},{},0,ORIGINAL
ADD,Article,{},{},,c0269db6-7be6-4bf5-8b7e-890040df3b6a,"add article with title=the title, author=the author, abstract=the abstract, keywords=the keywords",ADD,article,"{'title': 'The title', 'author': 'The author', 'abstract': 'The abstract', 'keywords': 'The keywords'}",{},4,ORIGINAL
UPDATE,Entity_Class__Article__Person__for__anderson_gomes__,{},None,,1e6f6c7d-8429-46f7-9eb6-ecc813bba161,"update article with title ""the title"", setting the co-author as ""anderson gomes""",UPDATE,article,{'co_author': 'Anderson Gomes'},{'title': 'The title'},2,ORIGINAL
UPDATE,Article__Author,{},None,,f53bd7e2-4785-4984-aef0-d188a5d5c293,"update article with id=1, setting the first author as ""paulo maia""",UPDATE,article,{'first_author': 'Paulo Maia'},{'id': '1'},2,ORIGINAL
READ,Students__singular__Student_,{},{},,d3c47d1c-c523-450f-9fed-524b925c92e7,show all students,READ,student,{},{},0,ORIGINAL
READ,Student,{},{},,195de954-8f65-454f-a41b-cf569133dca5,view students,READ,student,{},{},0,ORIGINAL
READ,Students,{},{},,03b7fa10-b738-4745-8ee9-aeb35d86d759,fetch the students,READ,student,{},{},0,ORIGINAL
READ,Student,{},{},,f3cdfa99-b049-45b1-8559-cd0e93c31b1b,get the students,READ,student,{},{},0,ORIGINAL
UPDATE,Person,{''': 'anderson'},{},,363fd052-1a1f-4891-889a-1d97723d4fec,"for the students with name='anderson', update the name to 'anderson martins'",UPDATE,student,{'name': 'Anderson Martins'},{'name': 'Anderson'},2,ORIGINAL
