processed_intent,processed_class,processed_attributes,processed_filter_attributes,processed_key_quantity,id,user_msg,expected_intent,expected_class,expected_attributes,expected_filter_attributes,expected_key_quantity,dataset
ADD,Student,"""{'name': 'anderson martins gomes', 'age': '20'}""","""{}""",,26c5addb-0820-4d2c-9583-81f845178308,"add student with name=anderson martins gomes, age=20",ADD,student,"""{\""name\"": \""Anderson Martins Gomes\"", \""age\"": \""20\""}""","""{}""",2,ORIGINAL
ADD,Subject,"""{'name': 'brazilian history', 'description': 'the history of brazil'}""","""{}""",,84740bfb-18a8-4b9a-b6f4-7633cc1c88ee,"add subject with name=brazilian history, description=the history of brazil",ADD,subject,"""{\""name\"": \""Brazilian History\"", \""description\"": \""The history of Brazil\""}""","""{}""",2,ORIGINAL
ADD,Teacher,"""{'name': 'paulo henrique', 'age': '65', 'email': 'ph@uece.br'}""","""{}""",,eb995462-1f55-4c92-b22d-bf1384817eff,"add teacher with name=paulo henrique, age=65, email=ph@uece.br",ADD,teacher,"""{\""name\"": \""Paulo Henrique\"", \""age\"": \""65\"", \""email\"": \""ph@uece.br\""}""","""{}""",3,ORIGINAL
ADD,Subject,"""{'name': 'math', 'description': 'the best subject ever'}""","""{}""",,4ae61a24-35af-43fd-9aa0-31a4ba047489,"add subject with name=math, description=the best subject ever",ADD,subject,"""{\""name\"": \""Math\"", \""description\"": \""The best subject ever\""}""","""{}""",2,ORIGINAL
ADD,Subject,"""{'name': 'math', 'description': 'the best subject ever!'}""","""{}""",,a21d09a0-366b-4db0-9bb4-206cc084ecd4,"add subject with name=math, description='the best subject ever!'",ADD,subject,"""{\""name\"": \""Math\"", \""description\"": \""The best subject ever!\""}""","""{}""",2,ORIGINAL
ADD,Student,"""{'name': 'anderson'}""","""{}""",,179dc440-66ef-46ae-8bd8-2fa90ef2d896,add student name=anderson,ADD,student,"""{\""name\"": \""Anderson\""}""","""{}""",1,ORIGINAL
READ,Student,"""{'name': 'anderson'}""","""{}""",,6f694e0d-9ddf-4229-88d3-cbb3600632d1,get students with name anderson,READ,student,"""{}""","""{\""name\"": \""anderson\""}""",1,ORIGINAL
READ,Teacher,"""{}""","""{}""",,c41aa589-5592-4895-88eb-f8a1028dde6f,show me the teachers,READ,teacher,"""{}""","""{}""",0,ORIGINAL
READ,Teacher,"""{}""","""{}""",,0f515d96-e4f1-41a7-9cac-6aacde752d16,show teachers,READ,teacher,"""{}""","""{}""",0,ORIGINAL
READ,Teacher,"""{}""","""{}""",,0f222997-9cf9-4be0-ba22-c69da09d9bd8,show teacher,READ,teacher,"""{}""","""{}""",0,ORIGINAL
ADD,Outcome,"""{'date': 'today', 'description': 'adjusting the numbers'}""","""{}""",,768111b3-edb7-4635-8657-854523b52658,"include outcome value 900, date is today, and description is ""adjusting the numbers""",ADD,outcome,"""{\""value\"": \""900\"", \""date\"": \""today\"", \""description\"": \""adjusting the numbers\""}""","""{}""",3,ORIGINAL
READ,Invoice,"""{}""","""{}""",,04be8744-a75c-4d2e-8393-68843839d517,get invoices,READ,invoice,"""{}""","""{}""",0,ORIGINAL
