processed_intent,processed_class,processed_attributes,processed_filter_attributes,processed_key_quantity,id,user_msg,expected_intent,expected_class,expected_attributes,expected_filter_attributes,expected_key_quantity,dataset
ADD,student,"{'name': 'anderson martins gomes', 'age': '20'}",{},,655bcec0-c902-4446-8b93-a71e50d02135,"add student with name=anderson martins gomes, age=20",ADD,student,"{'name': 'Anderson Martins Gomes', 'age': '20'}",{},2,ORIGINAL
ADD,subject,"{'name': 'brazilian history', 'description': 'the history of brazil'}",{},,8d593087-9807-4f7b-9356-f2c94653a217,"add subject with name=brazilian history, description=the history of brazil",ADD,subject,"{'name': 'Brazilian History', 'description': 'The history of Brazil'}",{},2,ORIGINAL
ADD,teacher,{'teacher': 'henrique'},{},,829836d8-f33f-4b04-a725-3518ae8a5bc2,"add teacher with name=paulo henrique, age=65, email=ph@uece.br",ADD,teacher,"{'name': 'Paulo Henrique', 'age': '65', 'email': 'ph@uece.br'}",{},3,ORIGINAL
ADD,subject,"{'name': 'math', 'description': 'the best subject ever'}",{},,b998b59c-187e-4fd5-b128-19a394a252b9,"add subject with name=math, description=the best subject ever",ADD,subject,"{'name': 'Math', 'description': 'The best subject ever'}",{},2,ORIGINAL
ADD,subject,"{'name': 'math', 'description': 'best subject'}",{},,ba78597e-6ac7-4252-822f-80b5889add05,"add subject with name=math, description='the best subject ever!'",ADD,subject,"{'name': 'Math', 'description': 'The best subject ever!'}",{},2,ORIGINAL
ADD,student,{'name': 'anderson'},{},,a1db124e-67bd-4bd2-bab1-8303091cb34a,add student name=anderson,ADD,student,{'name': 'Anderson'},{},1,ORIGINAL
READ,student,{'name': 'anderson'},{},,646258b5-31aa-4d62-b1de-3c7999b6e5c7,get students with name anderson,READ,student,{},{'name': 'anderson'},1,ORIGINAL
READ,teacher,{},{},,684821c9-adb5-4436-8bf4-8b2b1c097ffd,show me the teachers,READ,teacher,{},{},0,ORIGINAL
READ,teacher,{},{},,b624d710-073b-4ce0-9c63-5c5774df6a0e,show teachers,READ,teacher,{},{},0,ORIGINAL
READ,,None,None,,0d932c01-b1e1-4116-b8b0-db31f13621ce,show teacher,READ,teacher,{},{},0,ORIGINAL
ADD,outcome,"{'value': '900', 'date': 'today', 'description': 'adjusting the numbers'}",{},,07198869-e57d-4dfb-b69a-78e9aa6b78cb,"include outcome value 900, date is today, and description is ""adjusting the numbers""",ADD,outcome,"{'value': '900', 'date': 'today', 'description': 'adjusting the numbers'}",{},3,ORIGINAL
READ,in,{'invoices': ''},{},,b7aac38b-0f24-40eb-9c2b-48b0f744a2dd,get invoices,READ,invoice,{},{},0,ORIGINAL
ADD,test,"{'scope': 'module', 'x': '', 'date': '01/01/2022', 'timeout': '100', 'limit': '10'}",{},,50732ede-5cab-4c84-bb70-2e6b7ef4d35e,"add a test with scope=module x, date=01/01/2022, timeout = 100, limit=10",ADD,test,"{'scope': 'Module X', 'date': '01/01/2022', 'timeout': '100', 'limit': '10'}",{},4,ORIGINAL
ADD,test,"{'scope': 'module', 'y': '', 'number': '8'}",{},,26a5fdcd-0e71-4d6b-be43-64c15c037366,add a test with scope=module y and number = 8,ADD,test,"{'scope': 'Module Y', 'number': '8'}",{},2,ORIGINAL
ADD,student,"{'name': 'anderson', 'age': '199'}",{},,45b38dbe-75ec-47bc-865f-9a60b5593c6f,"add student with name=anderson, age=199",ADD,student,"{'name': 'Anderson', 'age': '199'}",{},2,ORIGINAL
DELETE,student,"{'name': 'anderson', 'age': '199'}",{},,9c071c4a-30ba-44de-bb70-e5faf99e2a2c,"delete student name is anderson, and age is 199",DELETE,student,{},"{'name': 'Anderson', 'age': '199'}",2,ORIGINAL
ADD,article,"{'title': 'the title', 'author': 'the author'}",{},,9b87554b-bdac-4be7-b51a-ead75047ad1e,"add article with title=the title, author=the author",ADD,article,"{'title': 'The title', 'author': 'The author'}",{},2,ORIGINAL
UPDATE,,None,None,,f3ec6c72-998b-4b8b-91cf-9dc3d27a99a0,"update article with title ""the title"" and author ""the author"" set the title to ""the new title""",UPDATE,article,{'title': 'The new title'},"{'title': 'The title', 'author': 'The author'}",3,ORIGINAL
ADD,article,{'author': 'anderson'},{},,35c48a6d-f7a9-4e68-9de7-70f6ee562c6f,add article with author=anderson,ADD,article,{'author': 'Anderson'},{},1,ORIGINAL
DELETE,article,{'author': 'anderson'},{},,5bd5ef3b-c014-4637-b4b6-90b6112f8b6f,"delete article when author=""anderson""",DELETE,article,{},{'author': 'Anderson'},1,ORIGINAL
READ,article,{},{},,1d43d979-e4fb-412c-aa3a-c78ab7fe96bb,show me the articles,READ,article,{},{},0,ORIGINAL
ADD,article,"{'title': 'the title', 'author': 'the author', 'abstract': 'the abstract', 'keywords': 'the keywords'}",{},,80d3595b-2bfa-4733-b740-89b9a83e61e8,"add article with title=the title, author=the author, abstract=the abstract, keywords=the keywords",ADD,article,"{'title': 'The title', 'author': 'The author', 'abstract': 'The abstract', 'keywords': 'The keywords'}",{},4,ORIGINAL
UPDATE,,None,None,,cfb62052-9ee0-4e58-a095-57eca87afae1,"update article with title ""the title"", setting the co-author as ""anderson gomes""",UPDATE,article,{'co_author': 'Anderson Gomes'},{'title': 'The title'},2,ORIGINAL
