model,precision,recall,f1,TP,FP,FN,TN
flan_default,0.4528083381586566,0.7148080438756855,0.554413328606877,782,945,312,409
flan_treatment_mode,0.7550138846035175,0.7687715991203268,0.7618306351183065,2447,794,736,775
gemma3_default,0.82489652976759,0.7672490376073438,0.7950291500460264,2591,550,786,825
gemma3_treatment_mode,0.7914205781784271,0.7712814298697365,0.7812212335072107,2546,671,755,780
llama3_default,0.8367010309278351,0.6142900393581593,0.7084497206703911,2029,396,1274,1053
llama3_treatment_mode,0.7959634184799748,0.760928549894483,0.7780517879161529,2524,647,793,788
mistral_default,0.6040213377102995,0.5384052670080468,0.5693289499129761,1472,965,1262,1053
mistral_treatment_mode,0.7804032766225583,0.7607493857493858,0.7704510108864697,2477,697,779,799
qwen3_default,0.46587171052631576,0.47188671386922115,0.4688599213738879,1133,1299,1268,1052
qwen3_treatment_mode,0.7356212265649825,0.7424631173829378,0.7390263367916998,2315,832,803,802
